customer_id,churned,nr_of_transactions,amount_spent,scaled_tran,scaled_amount,score
CS4424,1,39,2933,1.0,1.0,100.0
CS4320,1,38,2647,0.9714285714285714,0.8972701149425287,93.43493431855501
CS3799,1,36,2513,0.9142857142857143,0.8491379310344828,88.17118226600985
CS5109,1,35,2506,0.8857142857142857,0.8466235632183908,86.61689244663381
CS3805,1,35,2453,0.8857142857142857,0.8275862068965517,85.66502463054186
CS5752,1,33,2612,0.8285714285714286,0.884698275862069,85.66348522167489
CS4074,1,34,2462,0.8571428571428571,0.8308189655172413,84.39809113300491
CS4660,1,33,2527,0.8285714285714286,0.8541666666666666,84.13690476190476
CS1215,1,35,2362,0.8857142857142857,0.7948994252873564,84.03068555008211
CS2620,1,35,2360,0.8857142857142857,0.7941810344827587,83.99476600985221
CS4998,1,34,2358,0.8571428571428571,0.7934626436781609,82.5302750410509
CS3013,1,35,2259,0.8857142857142857,0.7579022988505747,82.18082922824301
CS4608,1,32,2449,0.8,0.8261494252873564,81.30747126436782
CS3270,1,33,2349,0.8285714285714286,0.7902298850574713,80.94006568144499
CS4555,1,33,2331,0.8285714285714286,0.7837643678160919,80.61678981937604
CS2316,1,33,2330,0.8285714285714286,0.7834051724137931,80.5988300492611
CS1580,1,33,2329,0.8285714285714286,0.7830459770114943,80.58087027914614
CS2951,1,32,2382,0.8,0.8020833333333334,80.10416666666667
CS4540,1,32,2361,0.8,0.7945402298850575,79.72701149425288
CS5555,1,31,2439,0.7714285714285715,0.8225574712643678,79.69930213464697
CS1982,1,32,2354,0.8,0.7920258620689655,79.60129310344828
CS3163,1,31,2413,0.7714285714285715,0.8132183908045977,79.23234811165845
CS3975,1,32,2327,0.8,0.7823275862068966,79.11637931034483
CS5990,1,32,2326,0.8,0.7819683908045977,79.0984195402299
CS5287,1,32,2307,0.8,0.7751436781609196,78.75718390804597
CS4232,1,32,2302,0.8,0.7733477011494253,78.66738505747126
CS5323,1,32,2280,0.8,0.7654454022988506,78.27227011494253
CS4048,1,31,2358,0.7714285714285715,0.7934626436781609,78.24456075533661
CS4746,1,31,2337,0.7714285714285715,0.7859195402298851,77.86740558292283
CS5528,1,31,2312,0.7714285714285715,0.7769396551724138,77.41841133004927
CS3615,1,31,2263,0.7714285714285715,0.7593390804597702,76.53838259441707
CS5868,1,31,2260,0.7714285714285715,0.7582614942528736,76.48450328407226
CS1695,1,32,2174,0.8,0.7273706896551724,76.36853448275862
CS1865,1,31,2245,0.7714285714285715,0.7528735632183908,76.21510673234812
CS1757,1,31,2238,0.7714285714285715,0.7503591954022989,76.08938834154351
CS2946,1,31,2238,0.7714285714285715,0.7503591954022989,76.08938834154351
CS3911,1,31,2229,0.7714285714285715,0.7471264367816092,75.92775041050903
CS3362,1,30,2303,0.7428571428571429,0.7737068965517241,75.82820197044336
CS4329,1,30,2301,0.7428571428571429,0.7729885057471264,75.79228243021346
CS3356,1,31,2221,0.7714285714285715,0.7442528735632183,75.7840722495895
CS1978,1,31,2220,0.7714285714285715,0.7438936781609196,75.76611247947456
CS1786,1,31,2218,0.7714285714285715,0.7431752873563219,75.73019293924467
CS3028,1,31,2214,0.7714285714285715,0.7417385057471264,75.65835385878489
CS1541,1,30,2273,0.7428571428571429,0.7629310344827587,75.28940886699507
CS4303,1,31,2181,0.7714285714285715,0.7298850574712644,75.0656814449918
CS5928,1,32,2087,0.8,0.6961206896551724,74.80603448275862
CS3821,1,30,2240,0.7428571428571429,0.7510775862068966,74.69673645320198
CS4670,1,30,2214,0.7428571428571429,0.7417385057471264,74.22978243021346
CS1661,1,32,2051,0.8,0.6831896551724138,74.1594827586207
CS3504,1,30,2207,0.7428571428571429,0.7392241379310345,74.10406403940887
