Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"44419","2019-01-23 09:21:13","1","21","<machine-learning><data-mining>","0",""
"44420","2019-01-23 09:34:01","0","25","<machine-learning><regression><linear-regression><regularization>","0",""
"44423","2019-01-23 09:58:41","2","1651","<python><time-series><forecast><forecasting>","0",""
"44427","2019-01-23 10:57:09","0","55","<machine-learning><scikit-learn><pca>","1",""
"44428","2019-01-23 11:02:15","0","19","<dataset><bigdata><data><speech-to-text>","0",""
"44430","2019-01-23 11:13:32","0","283","<fuzzy-logic>","1",""
"44432","2019-01-23 11:17:46","1","214","<time-series><anomaly-detection><online-learning>","0","1"
"44436","2019-01-23 12:49:39","0","9","<matrix-factorisation>","0",""
"44437","2019-01-23 13:04:11","0","7","<correlation><naive-bayes-classifier>","0",""
"44438","2019-01-23 13:16:29","0","584","<machine-learning><python><deep-learning><keras><cnn>","1",""
"44439","2019-01-23 13:25:24","0","17","<machine-learning>","0",""
"44440","2019-01-23 14:04:25","0","64","<machine-learning><theory>","2",""
"44446","2019-01-23 14:55:08","1","73","<machine-learning><gradient-descent>","2",""
"44448","2019-01-23 15:34:39","2","105","<nlp><clustering><feature-extraction><encoding><embeddings>","0",""
"44449","2019-01-23 15:36:41","1","1212","<python><scikit-learn><pandas><numpy>","0",""
"44450","2019-01-23 15:37:08","2","178","<python><scikit-learn><decision-trees><accuracy><matlab>","2",""
"44454","2019-01-23 16:56:01","0","204","<python><pandas>","2",""
"44456","2019-01-23 17:29:04","2","188","<python><deep-learning><keras>","1","1"
"44460","2019-01-23 18:03:18","0","48","<machine-learning><reinforcement-learning><q-learning><policy-gradients>","1",""
"44463","2019-01-23 18:52:32","1","26","<neural-network><deep-learning><image-classification>","0",""
"44465","2019-01-23 21:19:38","2","30","<r><logistic-regression><regularization>","1",""
"44472","2019-01-24 00:10:24","0","52","<machine-learning><time-series><predictive-modeling><lstm><reinforcement-learning>","0",""
"44474","2019-01-24 00:43:27","2","1810","<python><keras><tensorflow><gpu>","2","2"
"44476","2019-01-24 04:59:16","1","1779","<python><pandas><bigdata><data-cleaning>","2",""
"44478","2019-01-24 06:33:12","0","36","<machine-learning><data-cleaning><logistic-regression>","1",""
"44480","2019-01-24 07:04:40","0","16","<python><object-detection>","0",""
"44482","2019-01-24 07:25:46","2","57","<machine-learning><recommender-system><supervised-learning><similarity>","1",""
"44483","2019-01-24 07:58:35","0","17","<machine-learning><deep-learning><nlp><text-mining><word-embeddings>","0",""
"44484","2019-01-24 08:17:31","1","34","<machine-learning-model>","1",""
"44489","2019-01-24 09:18:10","0","77","<xgboost><apache-spark>","0",""
"44491","2019-01-24 09:44:44","0","12","<time-series><anomaly-detection>","0",""
"44492","2019-01-24 09:45:25","0","61","<machine-learning><neural-network><classification><feature-extraction>","0",""
"44498","2019-01-24 12:18:46","0","839","<python>","0",""
"44499","2019-01-24 12:24:40","1","78","<gaussian><deepmind>","0",""
"44500","2019-01-24 12:40:20","0","157","<deep-learning><training>","0",""
"44501","2019-01-24 12:52:37","1","226","<time-series><anomaly-detection><online-learning>","0","2"
"44503","2019-01-24 13:43:15","0","33","<machine-learning><statistics>","1",""
"44504","2019-01-24 14:02:19","1","152","<nlp><nlg>","0",""
"44506","2019-01-24 14:45:18","1","635","<overfitting><inception>","1",""
"44508","2019-01-24 15:18:57","1","27","<tensorflow>","0",""
"44513","2019-01-24 17:06:45","0","26","<neural-network>","0",""
"44514","2019-01-24 17:21:25","0","151","<python><deep-learning><keras><lstm><rnn>","1",""
"44516","2019-01-24 17:46:21","0","28","<r><topic-model><dplyr>","0",""
"44517","2019-01-24 17:47:15","0","1289","<python><scikit-learn><bigdata><k-means>","3",""
"44518","2019-01-24 18:08:03","2","971","<cnn><convnet>","2",""
"44520","2019-01-24 18:21:45","0","53","<r><parameter-estimation><markov-hidden-model>","0",""
"44522","2019-01-24 18:45:27","1","90","<nlp><dimensionality-reduction>","0",""
"44526","2019-01-24 20:03:07","0","66","<python><keras><cnn><convnet>","0",""
"44529","2019-01-24 21:18:18","1","47","<neural-network><autoencoder><topic-model>","0","1"
"44530","2019-01-24 21:47:34","2","59","<machine-learning><scikit-learn><data-mining><visualization><algorithms>","1",""
"44533","2019-01-24 22:45:30","0","5","<dataset><data-analysis><weighted-data><fuzzy-logic>","0",""
"44535","2019-01-24 23:58:29","2","370","<cnn><mnist>","1",""
"44537","2019-01-25 00:54:49","0","303","<machine-learning><neural-network><keras><tensorflow>","1",""
"44543","2019-01-25 06:49:03","0","9","<natural-language-process>","0",""
"44544","2019-01-25 06:59:45","0","43","<neural-network><image-classification>","1",""
"44546","2019-01-25 07:49:00","1","35","<regression><activation-function>","0",""
"55900","2019-07-18 08:31:17","0","29","<time-series>","0",""
"55901","2019-07-18 08:34:46","1","313","<nlp><encoding><transformer><attention-mechanism>","0","1"
"55902","2019-07-18 08:36:01","2","1038","<machine-learning><python><classification><xgboost>","2",""
"55907","2019-07-18 09:21:08","1","354","<python><image-classification><pytorch>","1","1"
"55908","2019-07-18 09:26:20","0","11","<python><nlp><encoding><parallel><processing>","0",""
"55909","2019-07-18 09:31:10","0","69","<deep-learning>","2",""
"55916","2019-07-18 12:07:09","1","72","<python><pandas><dataframe><text>","1",""
"55919","2019-07-18 13:33:17","0","20","<neural-network><feature-engineering><feature-scaling>","0","1"
"55920","2019-07-18 13:40:37","-1","37","<machine-learning><clustering>","1",""
"55921","2019-07-18 13:56:21","0","19","<machine-learning><neural-network><data-cleaning>","0",""
"55922","2019-07-18 13:59:42","0","117","<keras><tensorflow><anomaly-detection><autoencoder>","0",""
"55923","2019-07-18 14:19:53","-1","33","<machine-learning><linear-regression><linear-algebra>","1",""
"55924","2019-07-18 14:20:55","0","13","<deep-learning><labels><binary><deep-network>","1",""
"55925","2019-07-18 14:26:20","0","16","<python><tensorflow><predictive-modeling><lstm><anaconda>","0",""
"55926","2019-07-18 14:26:28","0","28","<machine-learning><data><feature-engineering><bias>","0","2"
"55928","2019-07-18 14:42:28","2","30","<python><scikit-learn><categorical-data><encoding>","1","1"
"55930","2019-07-18 15:02:23","0","21","<r><time-series><statistics>","0",""
"55931","2019-07-18 15:07:00","1","29","<tensorflow>","1",""
"55933","2019-07-18 15:10:00","1","32","<python><bigdata>","0",""
"55934","2019-07-18 15:19:59","0","30","<json>","0",""
"55935","2019-07-18 15:35:56","1","37","<classification><data-science-model><weka>","1",""
"55937","2019-07-18 16:15:07","0","24","<machine-learning><python><deep-learning><data-mining><time-series>","0",""
"55940","2019-07-18 16:33:59","1","12","<time-series><regression>","0",""
"55948","2019-07-18 18:19:11","0","48","<python><feature-selection><multiclass-classification><supervised-learning>","1",""
"55949","2019-07-18 18:41:09","1","71","<machine-learning><xboost>","2","1"
"55950","2019-07-18 18:59:27","0","55","<dataset><data><excel>","1",""
"55953","2019-07-18 19:16:55","1","15","<neural-network><dataset><data><generalization>","0",""
"55954","2019-07-18 19:18:41","0","38","<python><sql><market-basket-analysis>","0",""
"55955","2019-07-18 19:48:56","0","56","<neural-network>","1",""
"55958","2019-07-18 21:25:46","1","7","<machine-learning><deep-learning><classification><data-mining>","0",""
"55959","2019-07-18 21:37:01","0","22","<machine-learning><python><data-cleaning><anomaly-detection>","0",""
"55960","2019-07-18 21:43:46","1","13","<python><deep-learning><keras><time-series><lstm>","0","1"
"55961","2019-07-18 21:48:37","0","41","<python><dataset><pandas><dataframe>","1","1"
"55962","2019-07-18 21:56:56","1","1079","<neural-network><loss-function><probability><pytorch><softmax>","1",""
"55963","2019-07-18 21:57:44","0","367","<python><deep-learning><keras><cnn><image-classification>","2",""
"55968","2019-07-19 01:49:58","0","12","<machine-learning><deep-learning><convolution>","0",""
"55969","2019-07-19 02:11:00","1","35","<feature-selection><feature-engineering><correlation><matlab>","1","2"
"55972","2019-07-19 04:37:08","0","26","<neural-network><gan><generative-models>","1",""
"55975","2019-07-19 06:05:49","0","360","<machine-learning><cnn><reinforcement-learning><convolution>","0",""
"55977","2019-07-19 06:41:41","0","13","<cnn><convolution><pytorch><image-preprocessing>","0",""
"55980","2019-07-19 08:05:35","1","39","<python><keras><time-series><lstm><forecasting>","0",""
"55982","2019-07-19 08:11:19","0","1787","<machine-learning><python><pandas><lstm>","0",""
"55984","2019-07-19 08:34:35","3","66","<machine-learning><evaluation><explainable-ai>","1","2"
"55985","2019-07-19 08:41:50","0","13","<python><deep-learning><keras><time-series><lstm>","0",""
"55988","2019-07-19 09:35:44","0","48","<machine-learning><python><scikit-learn><feature-selection><random-forest>","1",""
"55990","2019-07-19 09:53:13","0","23","<neural-network><regression><pytorch>","1",""
"55991","2019-07-19 10:10:22","3","1239","<machine-learning><deep-learning><training>","2",""
"55994","2019-07-19 10:55:04","0","100","<machine-learning><deep-learning><tensorflow><object-detection><faster-rcnn>","1",""
"56000","2019-07-19 12:35:37","0","144","<tensorflow>","0",""
"56002","2019-07-19 13:47:30","1","19","<computer-vision><convolution><faster-rcnn>","1",""
"56003","2019-07-19 13:54:29","0","112","<machine-learning><python><time-series><prediction>","1",""
"56006","2019-07-19 14:09:49","0","14","<dataset><regression><statistics><data><bigdata>","1",""
"44573","2019-01-25 14:46:52","0","15","<dataset><theory>","0",""
"44574","2019-01-25 14:47:02","0","38","<machine-learning><time-series><forecast>","0",""
"44575","2019-01-25 14:49:19","0","23","<reinforcement-learning><dqn>","0",""
"44578","2019-01-25 15:26:30","1","389","<overfitting>","2",""
"44582","2019-01-25 16:54:16","0","74","<python><logistic-regression>","1",""
"44584","2019-01-25 18:22:34","0","229","<deep-learning><keras><tensorflow>","1",""
"44586","2019-01-25 19:13:11","2","506","<machine-learning><python>","1",""
"44591","2019-01-25 22:29:58","0","24","<machine-learning><deep-learning><c>","0",""
"44595","2019-01-26 03:53:11","0","932","<keras><multiclass-classification>","1",""
"44597","2019-01-26 06:21:26","1","28","<deep-learning><lstm>","0","1"
"44598","2019-01-26 07:32:26","0","8","<data-science-model>","0",""
"44602","2019-01-26 08:42:46","0","17","<career>","0",""
"44607","2019-01-26 10:30:50","0","167","<reinforcement-learning><ai><openai-gym>","2",""
"44608","2019-01-26 11:28:34","0","36","<preprocessing><distribution><methodology><learning>","0",""
"44611","2019-01-26 16:16:54","2","102","<keras><tensorflow>","1","1"
"44613","2019-01-26 16:53:48","0","25","<cnn><image-recognition>","1",""
"44617","2019-01-26 19:36:50","1","150","<machine-learning><python><multilabel-classification>","1",""
"44621","2019-01-26 23:18:17","0","290","<r>","3",""
"44624","2019-01-27 02:53:33","2","2538","<keras><tensorflow><lstm>","3","1"
"44625","2019-01-27 06:16:27","1","43","<machine-learning><deep-learning><transfer-learning>","0",""
"44627","2019-01-27 07:54:54","0","255","<python><tensorflow><anaconda>","2",""
"44635","2019-01-27 11:22:36","0","78","<machine-learning><neural-network><recommender-system><embeddings>","1",""
"44637","2019-01-27 11:50:17","0","57","<machine-learning><neural-network><supervised-learning>","1","1"
"44638","2019-01-27 11:54:23","1","19","<classification><data-mining><labels>","0",""
"44640","2019-01-27 12:17:44","1","24","<classification><decision-trees>","1",""
"44641","2019-01-27 12:30:58","1","34","<python><scikit-learn><data><linear-regression>","1",""
"44643","2019-01-27 13:45:38","0","35","<excel><sas>","1",""
"44644","2019-01-27 14:01:53","2","5672","<neural-network><keras><feature-selection><recurrent-neural-net><sequence-to-sequence>","1","1"
"44645","2019-01-27 14:13:32","1","216","<machine-learning><neural-network><keras><tensorflow>","1",""
"44647","2019-01-27 14:44:10","1","109","<neural-network><time-series><overfitting><recurrent-neural-net><data-augmentation>","2",""
"44649","2019-01-27 15:07:29","0","13","<probability><sampling><monte-carlo>","0",""
"44655","2019-01-27 17:20:07","0","53","<classification><time-series><predictive-modeling><statistics>","0",""
"44657","2019-01-27 18:20:22","1","70","<image-classification><image-recognition>","3","1"
"44658","2019-01-27 19:25:00","1","12","<statistics><ensemble-modeling><variance>","0",""
"44659","2019-01-27 19:38:54","1","119","<dataframe>","1",""
"44664","2019-01-27 22:11:40","0","37","<machine-learning><machine-learning-model>","1",""
"44668","2019-01-28 02:26:19","0","216","<python><machine-learning-model><data-science-model>","1",""
"44671","2019-01-28 03:05:03","1","16","<machine-learning><data-mining>","0",""
"44672","2019-01-28 03:27:38","0","42","<regression><cnn><convolution><image-preprocessing>","0",""
"44673","2019-01-28 04:04:19","1","62","<machine-learning><neural-network><deep-learning><cnn><image-classification>","2",""
"44674","2019-01-28 05:13:45","1","212","<deep-learning>","1",""
"44675","2019-01-28 06:20:18","0","21","<model-selection>","1",""
"44678","2019-01-28 06:45:34","1","275","<regression><categorical-data><unbalanced-classes>","1",""
"44679","2019-01-28 06:57:39","1","117","<naive-bayes-classifier>","0",""
"44680","2019-01-28 07:48:11","1","193","<python><tensorflow><cnn><computer-vision><opencv>","0",""
"44682","2019-01-28 08:11:29","0","2077","<pytorch>","2",""
"44683","2019-01-28 09:00:16","0","18","<classification><dataset><training>","0",""
"44692","2019-01-28 11:29:14","0","60","<deep-learning><keras><time-series><machine-learning-model><pytorch>","0",""
"44693","2019-01-28 11:44:21","2","482","<classification><multiclass-classification>","2",""
"44694","2019-01-28 11:49:17","1","188","<machine-learning><prediction>","1","1"
"44697","2019-01-28 12:32:03","1","406","<machine-learning><classification><nlp><natural-language-process><named-entity-recognition>","0",""
"44699","2019-01-28 13:15:46","4","73","<neural-network><deep-learning><nlp><word-embeddings>","1","2"
"44700","2019-01-28 13:17:11","4","3358","<neural-network><scikit-learn><classifier><mlp>","2","1"
"44703","2019-01-28 13:34:41","3","2010","<machine-learning><neural-network><gradient-descent><backpropagation><cost-function>","1","3"
"55798","2019-07-16 20:16:18","0","23","<deep-learning><keras><features>","0",""
